time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-01T02:46:16.530Z,38.8321648,-122.8184967,1.44,0.85,md,12,68,0.01095,0.02,nc,nc73529541,2021-03-01T02:47:50.279Z,"8km NW of The Geysers, CA",earthquake,0.26,0.68,,1,automatic,nc,nc
2021-03-01T02:26:07.210Z,38.8320007,-122.8171692,1.65,1.44,md,32,47,0.01023,0.03,nc,nc73529536,2021-03-01T02:29:23.064Z,"8km NW of The Geysers, CA",earthquake,0.16,0.28,0.17,7,automatic,nc,nc
2021-03-01T02:25:39.350Z,38.7898331,-122.762001,1.67,0.36,md,9,99,0.01092,0.02,nc,nc73529531,2021-03-01T02:40:06.602Z,"2km NNW of The Geysers, CA",earthquake,0.37,0.94,,1,automatic,nc,nc
2021-03-01T02:15:21.310Z,33.1783333,-115.62,5.71,1.25,ml,10,86,0.003757,0.17,ci,ci39805152,2021-03-01T02:18:58.595Z,"12km WNW of Calipatria, CA",earthquake,0.57,0.41,0.251,13,automatic,ci,ci
2021-03-01T02:07:47.071Z,64.8402,-155.249,6.4,2,ml,,,,0.97,ak,ak0212r9hah1,2021-03-01T02:19:44.499Z,"15 km NE of Ruby, Alaska",earthquake,,0.2,,,automatic,ak,ak
